order_id,date,customer_id,customer_name,region,category,product,quantity,sales,profit
ORD-00596,2024-06-23,CUST-0011,Zara Gupta,North,Electronics,Webcam,6,346.22,41.22
ORD-00830,2024-03-05,CUST-0017,Meera Menon,,Furniture,Filing Cabinet,11,2216.57,395.01
ORD-00533,2024-10-07,CUST-0072,Aarav Gupta,South,Electronics,Webcam,5,562.17,89.79
ORD-01004,2024-09-08,CUST-0064,Kiara Iyer,West,Furniture,Office Chair,8,1658.49,464.22
ORD-00068,2024-10-27,CUST-0070,Kiara Nair,South,Office Supplies,Pen Set,7,97.4,28.73
ORD-00751,2024-05-23,CUST-0022,Zara Iyer,North,Electronics,Mechanical Keyboard,1,97.01,-4.72
ORD-01094,2024-06-20,CUST-0086,Kiara Singh,North,Office Supplies,Pen Set,10,144.53,34.48
ORD-00769,2024-06-27,CUST-0066,Diya Nair,South,Office Supplies,Stapler,2,27.54,1.58
ORD-00558,2024-02-16,CUST-0042,Kiara Bose,South,Apparel,Hoodie,8,221.51,56.02
ORD-00505,2024-11-06,CUST-0001,Kiara Singh,West,Furniture,Office Chair,5,1305.22,355.01
ORD-00184,2024-06-14,CUST-0112,Vihaan Bose,West,Office Supplies,Stapler,10,159.49,-1.66
ORD-00008,2024-10-02,CUST-0018,Vihaan Kapoor,West,Electronics,Webcam,1,93.03,-3.44
ORD-00273,2024-03-11,CUST-0051,Saanvi Reddy,South,Furniture,Bookshelf,9,1702.56,-58.82
ORD-00159,2024-08-27,CUST-0022,Zara Iyer,East,Furniture,Filing Cabinet,10,2759.21,224.99
ORD-00998,2024-08-04,CUST-0037,Tara Reddy,North,Electronics,Wireless Mouse,10,689.89,58.13
ORD-00618,2024-01-15,CUST-0117,Tara Chopra,West,Office Supplies,Printer Paper,7,79.72,-2.76
ORD-00717,2024-09-07,CUST-0027,Kiara Rao,East,Electronics,USB-C Hub,2,159.45,-1.96
ORD-00038,2024-04-27,CUST-0030,Kabir Mehta,South,Furniture,Filing Cabinet,7,1282.39,391.94
ORD-00981,2024-01-08,CUST-0008,Kabir Chopra,East,Furniture,Standing Desk,10,1930.33,27.63
ORD-00926,2024-05-10,CUST-0079,Kiara Patel,North,Apparel,T-Shirt,5,195.26,32.66
ORD-00415,2024-12-15,CUST-0023,Zara Singh,East,Electronics,Wireless Mouse,5,408.61,27.86
ORD-00812,2024-11-17,CUST-0099,Vihaan Sharma,West,Apparel,T-Shirt,11,376.64,-18.46
ORD-00330,2024-03-05,CUST-0119,Zara Rao,North,Electronics,Mechanical Keyboard,9,633.06,116.58
ORD-00744,2024-08-02,CUST-0079,Kiara Patel,North,Apparel,T-Shirt,3,131.07,12.41
ORD-00955,2024-12-02,CUST-0069,Ishaan Menon,West,Electronics,Webcam,7,573.26,166.27
ORD-00896,2024-02-26,CUST-0065,Meera Rao,East,Furniture,Office Chair,3,697.64,10.9
ORD-01011,2024-07-27,CUST-0003,Rohan Kapoor,South,Electronics,Webcam,5,400.44,139.67
ORD-00709,2024-12-18,CUST-0113,Kiara Iyer,East,Electronics,27in Monitor,8,760.63,6.03
ORD-00170,2024-02-04,CUST-0100,Arjun Verma,West,Furniture,Standing Desk,7,765.2,96.44
ORD-00458,2024-01-17,CUST-0019,Tara Singh,West,Apparel,T-Shirt,9,283.2,87.72
ORD-00201,2024-09-06,CUST-0031,Ananya Mehta,East,Furniture,Filing Cabinet,3,694.09,154.5
ORD-00418,2024-10-27,CUST-0024,Vivaan Sharma,South,Apparel,Hoodie,9,321.69,112.21
ORD-00896,2024-02-26,CUST-0065,Meera Rao,East,Furniture,Office Chair,3,697.64,10.9
ORD-00847,2024-10-08,CUST-0043,Aditya Mehta,East,Furniture,Standing Desk,5,1282.99,52.56
ORD-00641,2024-02-09,CUST-0086,Kiara Singh,West,Furniture,Standing Desk,11,2487.59,284.59
ORD-00601,2024-05-19,CUST-0025,Kabir Sharma,East,Apparel,Cap,2,49.3,7.19
ORD-00281,2024-12-30,CUST-0098,Tara Reddy,East,Electronics,Mechanical Keyboard,2,239.36,7.31
ORD-00672,2024-10-15,CUST-0046,Aarav Kapoor,,Furniture,Bookshelf,4,1028.5,319.3
ORD-00975,2024-08-06,CUST-0115,Ananya Sharma,South,Apparel,Hoodie,4,163.05,-2.59
ORD-00902,2024-03-14,CUST-0026,Aditya Mehta,South,Office Supplies,Notebook Pack,8,120.72,38.15
ORD-00440,2024-01-06,CUST-0009,Aditya Kapoor,South,Electronics,27in Monitor,4,229.13,62.94
ORD-00377,2024-04-27,CUST-0101,Ishaan Menon,West,Furniture,Office Chair,4,730.49,231.96
ORD-00693,2024-09-05,CUST-0046,Aarav Kapoor,East,Electronics,Webcam,3,243.65,36.03
ORD-00198,2024-06-08,CUST-0107,Aarav Patel,South,Apparel,T-Shirt,7,218.45,20.46
ORD-00499,2024-09-18,CUST-0044,Kiara Chopra,North,Electronics,Wireless Mouse,7,749.64,-7.78
ORD-00565,2024-01-14,CUST-0058,Ishaan Reddy,North,Office Supplies,Stapler,4,45.75,2.83
ORD-00843,2024-07-12,CUST-0007,Arjun Sharma,North,Furniture,Standing Desk,11,2134.58,354.37
ORD-00921,2024-11-09,CUST-0107,Aarav Patel,South,Office Supplies,Printer Paper,8,100.02,9.14
ORD-00287,2024-10-17,CUST-0055,Rohan Gupta,West,Office Supplies,Stapler,10,184.46,24.1
ORD-00970,2024-08-12,CUST-0039,Rohan Chopra,East,Office Supplies,Printer Paper,9,128.78,36.5
ORD-00512,2024-11-13,CUST-0060,Ishaan Patel,North,Electronics,27in Monitor,5,387.92,46.45
ORD-00294,2024-03-12,CUST-0020,Diya Menon,East,Apparel,Hoodie,5,189.1,50.82
ORD-00989,2024-11-08,CUST-0040,Saanvi Iyer,West,Apparel,Cap,5,230.84,54.95
ORD-00240,2024-01-01,CUST-0119,Zara Rao,North,Apparel,Cap,4,119.54,26.36
ORD-00825,2024-04-07,CUST-0063,Meera Das,South,Electronics,27in Monitor,3,163.81,-6.32
ORD-01013,2024-03-29,CUST-0032,Ishaan Nair,North,Apparel,Jacket,6,182.73,9.28
ORD-00331,2024-06-04,CUST-0015,Kabir Mehta,North,Furniture,Office Chair,9,2125.43,17.18
ORD-00552,2024-05-06,CUST-0064,Kiara Iyer,South,Electronics,USB-C Hub,7,700.15,135.03
ORD-00543,2024-10-27,CUST-0099,Vihaan Sharma,East,Office Supplies,Printer Paper,1,14.88,0.69
ORD-00061,2024-09-22,CUST-0011,Zara Gupta,West,Apparel,Jacket,4,91.94,0.27
ORD-00485,2024-05-22,CUST-0096,Kabir Kapoor,West,Office Supplies,Pen Set,8,159.41,27.13
ORD-00138,2024-09-10,CUST-0114,Ishaan Menon,South,Office Supplies,Printer Paper,4,58.82,3.14
ORD-00844,2024-07-08,CUST-0080,Ananya Iyer,East,Electronics,27in Monitor,8,559.37,190.32
ORD-00398,2024-02-16,CUST-0099,Vihaan Sharma,West,Furniture,Bookshelf,2,379.37,-3.83
ORD-00001,2024-04-24,CUST-0105,Ishaan Bose,North,Office Supplies,Notebook Pack,9,164.65,39.27
ORD-00746,2024-01-27,CUST-0027,Kiara Rao,East,Apparel,Jacket,9,253.42,17.66
ORD-00764,2024-03-29,CUST-0021,Kabir Nair,West,Electronics,Webcam,2,143.39,35.95
ORD-00324,2024-12-28,CUST-0118,Saanvi Iyer,East,Apparel,T-Shirt,11,271.77,70.08
ORD-00580,2024-03-16,CUST-0028,Vihaan Bose,South,Furniture,Standing Desk,9,1491.94,217.46
ORD-00953,2024-02-13,CUST-0111,Meera Kapoor,North,Apparel,Jacket,5,156.96,35.55
ORD-00838,2024-09-11,CUST-0041,Meera Gupta,East,Electronics,USB-C Hub,1,107.8,36.36
ORD-00403,2024-06-21,CUST-0094,Vihaan Patel,South,Electronics,Wireless Mouse,4,301.01,97.55
ORD-00879,2024-05-14,CUST-0078,Rohan Bose,South,Furniture,Standing Desk,7,1222.47,147.81
ORD-00868,2024-08-22,CUST-0036,Arjun Nair,East,Furniture,Standing Desk,7,1802.7,492.93
ORD-01099,2024-09-19,CUST-0052,Saanvi Patel,East,Furniture,Bookshelf,6,1114.8,-20.24
ORD-01016,2024-09-05,CUST-0090,Priya Nair,North,Furniture,Office Chair,4,802.1,132.77
ORD-01056,2024-05-06,CUST-0079,Kiara Patel,South,Office Supplies,Stapler,8,147.31,8.26
ORD-00147,2024-10-05,CUST-0074,Vivaan Singh,West,Office Supplies,Printer Paper,8,90.13,0.43
ORD-00994,2024-09-16,CUST-0076,Zara Chopra,West,Furniture,Office Chair,11,2812.69,
ORD-00067,2024-07-28,CUST-0061,Kabir Singh,West,Office Supplies,Notebook Pack,1,11.74,3.0
ORD-00643,2024-04-20,CUST-0060,Ishaan Patel,North,Office Supplies,Notebook Pack,3,29.78,9.73
ORD-01000,2024-01-13,CUST-0021,Kabir Nair,North,Apparel,Cap,6,149.39,11.98
ORD-01026,2024-08-12,CUST-0048,Priya Patel,East,Office Supplies,Pen Set,10,150.04,40.78
ORD-00200,2024-01-03,CUST-0031,Ananya Mehta,East,Apparel,Jacket,9,289.8,86.4
ORD-00461,2024-03-09,CUST-0059,Rohan Menon,South,Office Supplies,Pen Set,6,83.34,16.72
ORD-00644,2024-10-04,CUST-0118,Saanvi Iyer,West,Electronics,USB-C Hub,2,173.42,6.0
ORD-00615,2024-01-06,CUST-0080,Ananya Iyer,East,Office Supplies,Notebook Pack,9,100.12,9.53
ORD-00665,2024-07-24,CUST-0076,Zara Chopra,,Apparel,T-Shirt,4,122.35,33.19
ORD-00264,2024-09-22,CUST-0095,Kabir Gupta,West,Electronics,Wireless Mouse,6,406.14,95.58
ORD-00021,2024-12-21,CUST-0072,Aarav Gupta,West,Furniture,Filing Cabinet,2,374.19,-5.01
ORD-00385,2024-02-14,CUST-0048,Priya Patel,South,Apparel,Cap,1,37.67,12.98
ORD-00399,2024-06-14,CUST-0074,Vivaan Singh,East,Apparel,Cap,3,130.45,29.06
ORD-00487,2024-12-13,CUST-0007,Arjun Sharma,West,Electronics,Mechanical Keyboard,8,965.47,95.4
ORD-00873,2024-06-10,CUST-0092,Kiara Bose,East,Furniture,Bookshelf,5,1100.64,
ORD-01088,2024-11-01,CUST-0074,Vivaan Singh,East,Furniture,Bookshelf,10,2309.98,33.13
ORD-00456,2024-03-26,CUST-0042,Kiara Bose,North,Office Supplies,Pen Set,7,99.62,15.46
ORD-00453,2024-05-03,CUST-0011,Zara Gupta,South,Office Supplies,Notebook Pack,9,126.86,15.01
ORD-01055,2024-11-08,CUST-0083,Priya Patel,North,Furniture,Filing Cabinet,3,696.51,127.84
ORD-00863,2024-10-19,CUST-0013,Tara Nair,North,Apparel,Jacket,11,397.93,
ORD-00316,2024-05-02,CUST-0039,Rohan Chopra,South,Apparel,Hoodie,5,157.54,-7.52
ORD-00129,2024-02-11,CUST-0111,Meera Kapoor,South,Office Supplies,Stapler,11,149.39,-0.0
ORD-01014,2024-09-13,CUST-0119,Zara Rao,South,Furniture,Bookshelf,6,1407.34,343.14
ORD-00708,2024-08-21,CUST-0106,Saanvi Reddy,East,Apparel,Jacket,4,162.23,45.52
ORD-01027,2024-07-05,CUST-0101,Ishaan Menon,East,Apparel,Jacket,2,60.66,-0.9
ORD-01038,2024-08-24,CUST-0108,Ananya Das,South,Furniture,Office Chair,4,577.96,-19.93
ORD-00474,2024-12-16,CUST-0097,Aarav Sharma,East,Electronics,Mechanical Keyboard,10,1049.11,11.21
ORD-00917,2024-10-03,CUST-0117,Tara Chopra,South,Electronics,USB-C Hub,8,710.35,169.74
ORD-01076,2024-03-20,CUST-0052,Saanvi Patel,West,Electronics,Mechanical Keyboard,6,552.4,120.45
ORD-00508,2024-05-13,CUST-0075,Meera Verma,North,Furniture,Bookshelf,6,1209.97,123.14
ORD-00364,2024-03-27,CUST-0033,Kiara Sharma,East,Office Supplies,Printer Paper,6,105.76,8.68
ORD-00412,2024-09-26,CUST-0025,Kabir Sharma,North,Furniture,Filing Cabinet,10,1813.61,41.25
ORD-00213,2024-03-16,CUST-0043,Aditya Mehta,South,Furniture,Filing Cabinet,8,1427.11,135.77
ORD-00149,2024-09-05,CUST-0110,Arjun Mehta,North,Electronics,USB-C Hub,1,90.86,16.99
ORD-00142,2024-01-19,CUST-0068,Zara Verma,South,Office Supplies,Pen Set,2,24.32,6.58
ORD-00666,2024-07-17,CUST-0114,Ishaan Menon,East,Apparel,Hoodie,5,197.56,67.57
ORD-00072,2024-01-20,CUST-0046,Aarav Kapoor,South,Apparel,Hoodie,4,82.66,-1.59
ORD-01074,2024-05-05,CUST-0051,Saanvi Reddy,West,Office Supplies,Printer Paper,6,71.4,20.72
ORD-00738,2024-03-23,CUST-0060,Ishaan Patel,North,Electronics,USB-C Hub,4,205.5,31.69
ORD-00356,2024-07-03,CUST-0106,Saanvi Reddy,East,Electronics,Webcam,9,734.95,77.86
ORD-00320,2024-03-26,CUST-0082,Vihaan Bose,East,Office Supplies,Notebook Pack,1,19.32,2.89
ORD-00016,2024-09-05,CUST-0089,Kiara Rao,North,Apparel,Jacket,6,229.93,72.65
ORD-00419,2024-03-11,CUST-0057,Ishaan Chopra,East,Furniture,Filing Cabinet,5,958.7,129.2
ORD-00144,2024-12-20,CUST-0031,Ananya Mehta,,Electronics,Webcam,5,485.47,15.65
ORD-00600,2024-01-02,CUST-0045,Tara Singh,South,Office Supplies,Printer Paper,10,151.32,11.0
ORD-00388,2024-12-30,CUST-0090,Priya Nair,North,Apparel,Hoodie,9,432.02,48.34
ORD-01033,2024-01-09,CUST-0083,Priya Patel,South,Apparel,Hoodie,9,333.78,5.22
ORD-00629,2024-03-16,CUST-0096,Kabir Kapoor,South,Furniture,Bookshelf,10,1687.13,400.15
ORD-00048,2024-10-22,CUST-0006,Ananya Bose,North,Electronics,Wireless Mouse,4,432.19,62.77
ORD-01005,2024-08-16,CUST-0035,Kiara Das,East,Office Supplies,Printer Paper,9,182.86,54.76
ORD-00165,2024-01-15,CUST-0036,Arjun Nair,North,Apparel,Jacket,10,318.47,97.23
ORD-00100,2024-06-28,CUST-0101,Ishaan Menon,South,Office Supplies,Pen Set,7,134.97,29.89
ORD-00266,2024-11-17,CUST-0043,Aditya Mehta,East,Electronics,Mechanical Keyboard,3,191.98,-0.37
ORD-00915,2024-06-17,CUST-0068,Zara Verma,East,Furniture,Office Chair,4,1041.38,-51.12
ORD-00231,2024-10-07,CUST-0054,Saanvi Reddy,North,Furniture,Filing Cabinet,2,383.82,34.41
ORD-00420,2024-07-27,CUST-0107,Aarav Patel,North,Furniture,Standing Desk,9,1616.77,462.78
ORD-01058,2024-12-04,CUST-0026,Aditya Mehta,South,Office Supplies,Printer Paper,3,69.96,2.57
ORD-01060,2024-11-29,CUST-0024,Vivaan Sharma,South,Electronics,Mechanical Keyboard,10,1055.78,12.61
ORD-00194,2024-06-03,CUST-0014,Kiara Rao,West,Electronics,27in Monitor,2,166.06,26.41
ORD-00352,2024-02-17,CUST-0083,Priya Patel,South,Office Supplies,Notebook Pack,10,97.06,11.72
ORD-00071,2024-07-24,CUST-0109,Zara Reddy,North,Office Supplies,Notebook Pack,9,142.8,19.67
ORD-01053,2024-09-25,CUST-0113,Kiara Iyer,South,Furniture,Standing Desk,4,932.09,68.0
ORD-00489,2024-01-17,CUST-0009,Aditya Kapoor,South,Furniture,Filing Cabinet,3,534.82,7.83
ORD-00214,2024-10-09,CUST-0036,Arjun Nair,North,Apparel,Cap,7,267.58,17.47
ORD-00172,2024-06-11,CUST-0107,Aarav Patel,East,Furniture,Standing Desk,10,2341.21,323.92
ORD-00019,2024-11-01,CUST-0085,Ishaan Bose,West,Office Supplies,Printer Paper,8,171.91,12.15
ORD-00509,2024-02-12,CUST-0046,Aarav Kapoor,East,Apparel,T-Shirt,7,233.79,42.72
ORD-00156,2024-12-17,CUST-0096,Kabir Kapoor,South,Apparel,Jacket,8,319.72,103.64
ORD-00285,2024-11-27,CUST-0007,Arjun Sharma,North,Furniture,Filing Cabinet,9,1811.84,58.28
ORD-00845,2024-02-03,CUST-0061,Kabir Singh,South,Electronics,Wireless Mouse,9,460.51,138.47
ORD-00441,2024-09-09,CUST-0012,Diya Gupta,East,Office Supplies,Stapler,7,114.35,11.49
ORD-00336,2024-10-16,CUST-0020,Diya Menon,West,Furniture,Standing Desk,4,965.45,330.13
ORD-01034,2024-05-20,CUST-0056,Priya Iyer,North,Office Supplies,Printer Paper,338,105.75,22.96
ORD-00630,2024-06-12,CUST-0120,Zara Chopra,North,Electronics,Webcam,11,1136.95,67.04
ORD-00815,2024-05-11,CUST-0057,Ishaan Chopra,North,Furniture,Filing Cabinet,2,292.81,82.82
ORD-00866,2024-06-17,CUST-0118,Saanvi Iyer,North,Electronics,Mechanical Keyboard,9,750.49,213.97
ORD-00837,2024-08-03,CUST-0039,Rohan Chopra,East,Electronics,USB-C Hub,6,462.27,-10.46
ORD-00976,2024-01-26,CUST-0085,Ishaan Bose,West,Electronics,27in Monitor,4,339.53,40.85
ORD-00679,2024-05-11,CUST-0047,Kabir Verma,North,Apparel,Hoodie,6,172.54,-2.93
ORD-01028,2024-07-19,CUST-0095,Kabir Gupta,West,Furniture,Office Chair,2,430.71,-13.89
ORD-00767,2024-08-31,CUST-0069,Ishaan Menon,East,Electronics,Mechanical Keyboard,5,323.46,53.4
ORD-00795,2024-05-21,CUST-0072,Aarav Gupta,North,Furniture,Office Chair,4,929.73,15.0
ORD-00477,2024-10-05,CUST-0067,Aarav Rao,East,Electronics,27in Monitor,7,576.81,194.33
ORD-00701,2024-10-14,CUST-0056,Priya Iyer,West,Furniture,Bookshelf,9,2135.76,199.04
ORD-00157,2024-11-30,CUST-0012,Diya Gupta,North,Apparel,T-Shirt,11,351.77,-7.2
ORD-00076,2024-10-20,CUST-0102,Vivaan Singh,North,Apparel,Hoodie,7,242.07,71.85
ORD-00327,2024-12-11,CUST-0015,Kabir Mehta,North,Apparel,T-Shirt,4,170.54,36.08
ORD-00437,2024-09-19,CUST-0053,Vivaan Sharma,South,Office Supplies,Printer Paper,1,22.01,7.14
ORD-00787,2024-08-05,CUST-0013,Tara Nair,West,Office Supplies,Notebook Pack,2,41.45,-2.04
ORD-00227,2024-01-13,CUST-0094,Vihaan Patel,North,Apparel,Jacket,9,238.85,36.68
ORD-00927,2024-11-23,CUST-0110,Arjun Mehta,West,Office Supplies,Pen Set,11,185.57,33.17
ORD-00582,2024-09-07,CUST-0025,Kabir Sharma,West,Electronics,Webcam,9,730.3,203.82
ORD-00102,2024-09-14,CUST-0059,Rohan Menon,West,Apparel,T-Shirt,3,83.82,27.42
ORD-00897,2024-12-27,CUST-0101,Ishaan Menon,West,Apparel,Hoodie,2,98.83,20.53
ORD-00103,2024-07-01,CUST-0049,Tara Mehta,South,Apparel,Cap,11,380.27,37.99
ORD-00242,2024-10-12,CUST-0113,Kiara Iyer,West,Furniture,Filing Cabinet,11,2099.72,-77.23
ORD-00654,2024-09-02,CUST-0034,Vivaan Iyer,North,Furniture,Standing Desk,1,242.06,78.62
ORD-00389,2024-03-17,CUST-0020,Diya Menon,North,Office Supplies,Notebook Pack,8,101.98,24.87
ORD-01052,2024-02-08,CUST-0085,Ishaan Bose,West,Furniture,Office Chair,7,1093.9,285.43
ORD-00503,2024-08-20,CUST-0048,Priya Patel,South,Furniture,Standing Desk,3,596.29,-5.21
ORD-01003,2024-06-12,CUST-0008,Kabir Chopra,South,Furniture,Office Chair,4,1005.48,
ORD-00923,2024-10-08,CUST-0106,Saanvi Reddy,West,Office Supplies,Notebook Pack,1,17.54,0.31
ORD-00442,2024-10-14,CUST-0054,Saanvi Reddy,West,Apparel,T-Shirt,2,60.83,20.35
ORD-00753,2024-10-23,CUST-0069,Ishaan Menon,North,Electronics,Webcam,6,518.13,
ORD-01096,2024-09-18,CUST-0041,Meera Gupta,North,Office Supplies,Stapler,4,88.41,17.27
ORD-00066,2024-06-03,CUST-0062,Kabir Singh,West,Electronics,USB-C Hub,2,170.58,-6.13
ORD-00706,2024-09-13,CUST-0076,Zara Chopra,South,Office Supplies,Notebook Pack,5,91.88,7.99
ORD-01069,2024-08-04,CUST-0095,Kabir Gupta,South,Apparel,Hoodie,11,233.43,55.43
ORD-00375,2024-04-30,CUST-0112,Vihaan Bose,West,Furniture,Bookshelf,9,1831.2,174.11
ORD-00780,2024-02-04,CUST-0023,Zara Singh,West,Electronics,Webcam,4,241.84,27.83
ORD-00659,2024-08-09,CUST-0051,Saanvi Reddy,East,Electronics,27in Monitor,9,641.11,47.32
